Date,Open,High,Low,Close,Volume,AdjClose
2004-10-25,78.98,79.31,78.10,78.48,3072000,64.56
2004-10-22,80.09,81.67,79.70,80.41,2637900,66.14
2004-10-21,80.35,80.64,78.32,79.74,3665300,65.59
2004-10-20,80.15,80.45,78.82,79.84,3211300,65.67
2004-10-19,81.25,82.21,81.23,81.35,2738200,66.92
2004-10-18,81.30,81.70,79.68,80.22,3718900,65.99
2004-10-15,82.14,82.60,80.26,80.98,7529900,66.61
2004-10-14,83.90,84.38,83.46,84.02,2244500,69.11
2004-10-13,84.94,86.03,84.52,84.95,2505400,69.88
2004-10-12,85.10,85.56,83.35,84.40,2773300,69.43
2004-10-11,85.15,85.79,84.61,85.32,1636700,70.18
2004-10-08,85.90,86.71,84.55,85.38,2955000,70.23
2004-10-07,87.21,87.45,85.71,86.29,3171300,70.98
2004-10-06,86.52,87.23,86.29,87.00,3095700,71.56
2004-10-05,85.50,87.09,85.06,86.50,3595900,71.15
2004-10-04,84.70,85.84,84.63,85.40,3103100,70.25
2004-10-01,81.00,83.68,80.92,83.57,2827100,68.74
2004-09-30,82.69,82.98,80.57,81.09,2486800,66.70
2004-09-29,81.48,82.49,81.30,81.77,2545900,67.26
2004-09-28,80.31,81.96,80.15,81.09,2038000,66.70
2004-09-27,81.73,81.73,80.33,80.97,2019500,66.60
2004-09-24,82.44,82.44,81.75,81.89,1727100,67.36
2004-09-23,82.95,83.00,81.75,82.41,2675400,67.79
2004-09-22,84.77,85.09,83.29,83.63,2521500,68.79
2004-09-21,85.60,86.10,84.57,85.00,1700400,69.92
2004-09-20,86.00,86.11,85.12,85.63,1620800,70.44
2004-09-17,85.02,86.00,84.90,85.96,3403700,70.71
2004-09-16,85.31,85.74,85.01,85.18,2163400,70.07
2004-09-15,84.60,85.94,84.45,84.75,2346000,69.71
2004-09-14,84.46,84.70,83.89,84.49,1668700,69.50
2004-09-13,83.19,84.45,83.15,84.42,2109900,69.44
2004-09-10,82.37,83.24,81.81,82.76,1649600,68.08
2004-09-09,82.58,82.70,81.61,82.02,1882400,67.47
2004-09-08,83.22,83.50,82.44,83.20,1439100,68.44
2004-09-07,83.29,83.70,82.55,83.22,2120100,68.45
2004-09-06,82.35,83.60,82.05,83.20,2047400,68.44
2004-09-03,80.15,82.28,80.14,82.02,2687400,67.47
2004-09-02,79.80,80.80,79.44,80.37,1588400,66.11
2004-09-01,79.86,80.56,79.54,80.14,2032600,65.92
2004-08-31,79.94,80.04,78.48,79.19,3139200,65.14
2004-08-30,80.90,81.05,80.05,80.62,1079100,66.32
2004-08-27,80.70,81.33,80.45,80.99,1654000,66.62
2004-08-26,80.14,80.77,79.61,80.50,2223200,66.22
2004-08-25,79.55,79.90,78.86,79.22,1617600,65.16
2004-08-24,78.74,79.37,78.40,79.02,1719700,65.00
2004-08-23,77.80,79.35,77.75,78.51,1860400,64.58
2004-08-20,77.51,77.70,76.94,77.21,1805800,63.51
2004-08-19,79.13,79.71,77.08,77.91,2790600,64.09
2004-08-18,77.96,78.65,77.29,78.23,2535400,64.35
2004-08-17,76.50,78.88,76.22,77.56,3601900,63.80
2004-08-16,75.00,76.72,74.23,76.03,3232600,62.54
2004-08-13,73.10,75.09,72.80,74.45,2983200,61.24
2004-08-12,74.26,75.14,72.80,73.87,2223800,60.76
2004-08-11,75.50,75.69,72.66,74.02,3018900,60.89
2004-08-10,74.54,75.23,74.25,75.23,1721300,61.88
2004-08-09,75.73,75.89,73.11,74.41,3450300,61.21
2004-08-06,76.25,77.78,75.03,75.61,3806000,62.20
2004-08-05,77.61,78.85,77.50,77.95,2281600,64.12
2004-08-04,77.57,77.77,76.34,77.04,2809200,63.37
2004-08-03,79.10,79.45,78.23,78.56,1905900,64.62
2004-08-02,79.44,79.75,78.60,79.00,1921300,64.98
2004-07-30,80.54,81.18,79.81,80.30,2155400,66.05
2004-07-29,79.32,80.74,78.62,80.54,3081400,66.25
2004-07-28,80.35,80.86,78.51,78.95,2730900,64.94
2004-07-27,77.85,79.68,77.73,79.48,2748500,65.38
2004-07-26,78.53,79.79,77.21,77.40,2527100,63.67
2004-07-23,80.25,80.54,78.25,78.94,2904200,64.93
2004-07-22,80.99,81.26,79.88,79.88,2853600,65.71
2004-07-21,82.10,82.92,81.30,82.21,2625600,67.62
2004-07-20,80.00,80.80,79.28,80.77,3308000,66.44
2004-07-19,81.74,81.79,80.65,81.05,1812200,66.67
2004-07-16,82.47,83.67,81.66,82.07,2214100,67.51
2004-07-15,83.44,83.92,82.27,82.46,2276300,67.83
2004-07-14,83.20,84.03,82.53,83.93,2271500,69.04
2004-07-13,84.40,84.67,83.66,83.96,1590600,69.06
2004-07-12,83.89,85.16,83.85,84.15,1734300,69.22
2004-07-09,84.56,84.83,83.25,84.67,2066300,69.65
2004-07-08,85.10,85.66,83.92,85.01,3085200,69.93
2004-07-07,86.50,86.73,85.18,85.56,2136200,70.38
2004-07-06,88.25,88.48,85.85,86.52,2554100,71.17
2004-07-05,88.55,89.09,87.98,88.25,841500,72.59
2004-07-02,89.15,89.15,88.30,88.71,1668300,72.97
2004-07-01,90.10,90.84,89.05,89.30,2704000,73.46
2004-06-30,89.80,90.30,89.02,89.03,2430700,73.23
2004-06-29,89.00,90.09,88.71,89.40,2645800,73.54
2004-06-28,87.32,89.58,87.05,89.15,2711600,73.33
2004-06-25,87.00,87.75,86.72,87.32,1594100,71.83
2004-06-24,86.80,87.48,86.21,86.91,1831100,71.49
2004-06-23,86.26,86.82,85.28,85.79,1626000,70.57
2004-06-22,86.99,87.45,85.67,85.90,1919400,70.66
2004-06-21,87.49,88.30,86.93,87.14,1771500,71.68
2004-06-18,86.35,87.24,85.59,86.91,4204900,71.49
2004-06-17,86.45,87.10,86.13,86.45,1604200,71.11
